sex,fans_number,member_number,total_live_number,totalSales_revenue,totalSales_volume,live_number_within30.1,totalProductConversion_rate,average_uv_value,total_product_number,total_fans_change,total_video_number,average_videoLike_number,average_videoViewe_number,average_videoComment_number,average_femaleFans_rate,average_maleFans_rate,living_time(h),viewer_number,product_number,comment_number,sales_number,increaseFans_number,fans_rate,like_number,ProductConversion_rate,perSales,UV_value,lucky_bag,averageStay_time,interact_rate,femaleFans_rate,maleFans_rate,product_interest_Apparel,product_interest_Baby Care Products,product_interest_Beauty & Skincare,product_interest_Food & Beverages,product_interest_Household Products,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,6.4463888888888885,344082,103,1636,7266,699,0.2,93590,2.11,102.42,2.1627215214095163,95,79,2.34,87.68774703557312,12.312252964426875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,6.2225,331745,103,1573,19893,652,0.2,40831,6.0,54.37,3.2604069067504096,11,83,2.51,91.36915715863084,8.630842841369157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.353055555555556,312772,104,2044,8283,660,0.21,67861,2.65,67.06,1.7759617939226018,48,80,2.15,90.42941982640475,9.570580173595248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.474166666666667,308202,102,2336,7147,661,0.21,24413,2.32,72.39,1.6786419559622303,63,78,1.11,88.31985624438454,11.680143755615454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,6.2375,282282,104,1763,11668,686,0.24,67882,4.13,68.94,2.8497900951841326,11,81,1.94,88.04189700320046,11.958102996799534,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.443888888888889,261221,103,2210,7808,451,0.17,36491,2.99,92.72,2.7715548294544825,4,83,2.59,90.27873761806036,9.721262381939646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.3502777777777775,223644,103,1569,5296,416,0.19,41459,2.37,85.34,2.020857341329453,3,81,1.75,90.27221777421936,9.727782225780626,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.205555555555556,215596,99,1739,6631,584,0.27,70264,3.08,89.58,2.7551399738820166,5,87,2.77,90.15210105697344,9.847898943026554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.315833333333333,214722,100,1675,12181,323,0.15,68481,5.67,57.44,3.2586165376329266,155,80,2.46,89.52574919988362,10.47425080011638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.130833333333333,211607,78,1171,3407,196,0.09,23309,1.61,74.75,1.2034658189777725,8,61,1.53,90.9306742640076,9.069325735992402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,22783113,212134,502,24114161.48,248110,25,2.5,2.38,262,-61347,73,19364,1692906,964,11.92,88.08,4.261388888888889,210162,103,1749,7352,439,0.21,64554,3.5,61.45,2.1497584388105277,9,78,3.05,88.11154598825833,11.888454011741684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
